Crop Type,Crop Yield,Crop Yield Unit,Climate Drivers,Climate Drivers Value,Climate Drivers Unit,Experimental Design,Location,Time,Source in paper
maize,-10,%,temperature,1,℃,N/A,SP,N/A,"The SP region is also projected to experience adverse impact with -10, -15, -23, -27 and -35% reductions from the baseline yield levels at each 1°C rise in temperature."
maize,-11,%,atmospheric temperatures,2,℃,N/A,UIGP,N/A,"The mean baseline yield of rainfed maize crop is about 2 Mg ha⁻¹ in UIGP, where the projected yield loss is up to 7, 11, 15, 22, and 33% relative to baseline yields with 1, 2, 3, 4, 5°C degrees rise in atmospheric temperatures."
maize,-13,%,N/A,N/A,N/A,HadCM3 model,Bern CC model,InfoCrop-MAIZE model,N/A
maize,-15,%,temperature,1,℃,N/A,SP,N/A,"The SP region is also projected to experience adverse impact with -10, -15, -23, -27 and -35% reductions from the baseline yield levels at each 1°C rise in temperature."
maize,-15,%,atmospheric temperatures,3,℃,N/A,UIGP,N/A,"The mean baseline yield of rainfed maize crop is about 2 Mg ha⁻¹ in UIGP, where the projected yield loss is up to 7, 11, 15, 22, and 33% relative to baseline yields with 1, 2, 3, 4, 5°C degrees rise in atmospheric temperatures."
maize,-17,%,N/A,N/A,N/A,HadCM3 model,Bern CC model,InfoCrop-MAIZE model,N/A
maize,-21,%,N/A,N/A,N/A,N/A,SP,2020,"In SP, monsoon season crop is projected to lose grain yield by 21% from current yields due to climate change by 2020 and 35% by 2050 and later."
maize,-22,%,atmospheric temperatures,4,℃,N/A,UIGP,N/A,"The mean baseline yield of rainfed maize crop is about 2 Mg ha⁻¹ in UIGP, where the projected yield loss is up to 7, 11, 15, 22, and 33% relative to baseline yields with 1, 2, 3, 4, 5°C degrees rise in atmospheric temperatures."
maize,-23,%,temperature,1,℃,N/A,SP,N/A,"The SP region is also projected to experience adverse impact with -10, -15, -23, -27 and -35% reductions from the baseline yield levels at each 1°C rise in temperature."
maize,-25,%,N/A,N/A,N/A,N/A,N/A,2080,"However, in 2080 scenario, yields are projected to be reduced by 25% from current yields."
maize,-27,%,temperature,1,℃,N/A,SP,N/A,"The SP region is also projected to experience adverse impact with -10, -15, -23, -27 and -35% reductions from the baseline yield levels at each 1°C rise in temperature."
maize,-33,%,atmospheric temperatures,5,℃,N/A,UIGP,N/A,"The mean baseline yield of rainfed maize crop is about 2 Mg ha⁻¹ in UIGP, where the projected yield loss is up to 7, 11, 15, 22, and 33% relative to baseline yields with 1, 2, 3, 4, 5°C degrees rise in atmospheric temperatures."
maize,-35,%,atmospheric temperature,5,℃,N/A,MIGP,N/A,"In MIGP region, yield reduction of about 8–35% with 1–5°C rise in atmospheric temperature is projected."
maize,-35,%,N/A,N/A,N/A,N/A,SP,2050,"In SP, monsoon season crop is projected to lose grain yield by 21% from current yields due to climate change by 2020 and 35% by 2050 and later."
maize,-35,%,temperature,1,℃,N/A,SP,N/A,"The SP region is also projected to experience adverse impact with -10, -15, -23, -27 and -35% reductions from the baseline yield levels at each 1°C rise in temperature."
maize,-40,%,drought,N/A,N/A,N/A,N/A,N/A,The average yield is projected to decrease by 40% due to drought in rainfed conditions.
maize,-5,%,N/A,N/A,N/A,HadCM3 model,Bern CC model,InfoCrop-MAIZE model,N/A
maize,-50,%,N/A,N/A,N/A,N/A,N/A,2080,"However, by 2080, yields are projected to decline by 50% from current levels."
maize,-7,%,atmospheric temperatures,1,℃,N/A,UIGP,N/A,"The mean baseline yield of rainfed maize crop is about 2 Mg ha⁻¹ in UIGP, where the projected yield loss is up to 7, 11, 15, 22, and 33% relative to baseline yields with 1, 2, 3, 4, 5°C degrees rise in atmospheric temperatures."
maize,0.1,%,CO₂,450,ppmV,N/A,N/A,N/A,"Even though maize is a C4 plant, increase in carbon dioxide is projected to benefit the crop yield ranging from 0.1 to 3.4% at 450 ppmV and 0.6 to 7.2% at 550 ppmV."
maize,0.6,%,CO₂,550,ppmV,N/A,N/A,N/A,"Even though maize is a C4 plant, increase in carbon dioxide is projected to benefit the crop yield ranging from 0.1 to 3.4% at 450 ppmV and 0.6 to 7.2% at 550 ppmV."
maize,13,%,N/A,2,℃,N/A,UIGP,N/A,"In UIGP, this beneficial effect with rise in temperature is projected to be more up to 2°C rise (13% increase over current yields)."
maize,1.5,times,N/A,N/A,N/A,N/A,N/A,N/A,Maize crop during winter is provided with assured irrigation and thus yields about 1.5 times more than that of monsoon crop.
maize,2,Mg ha⁻¹,N/A,N/A,N/A,N/A,UIGP,N/A,The mean baseline yield of rainfed maize crop is about 2 Mg ha⁻¹ in UIGP
maize,20% reduction,%,rainfall,20,%,temperature,2,℃,N/A
maize,3.4,%,CO₂,450,ppmV,N/A,N/A,N/A,"Even though maize is a C4 plant, increase in carbon dioxide is projected to benefit the crop yield ranging from 0.1 to 3.4% at 450 ppmV and 0.6 to 7.2% at 550 ppmV."
maize,30% reduction,%,rainfall,30,%,temperature,3,℃,N/A
maize,5,%,N/A,N/A,N/A,N/A,UIGP,2020,"As far as maize crop grown in winter is concerned, yield gains are projected to be ~5% over current yield in 2020 scenario at UIGP and this benefit is likely to remain till 2050 (Fig. 4b)."
maize,7.2,%,CO₂,550,ppmV,N/A,N/A,N/A,"Even though maize is a C4 plant, increase in carbon dioxide is projected to benefit the crop yield ranging from 0.1 to 3.4% at 450 ppmV and 0.6 to 7.2% at 550 ppmV."
maize,8,%,atmospheric temperature,1,℃,N/A,MIGP,N/A,"In MIGP region, yield reduction of about 8–35% with 1–5°C rise in atmospheric temperature is projected."
